prompt_no,connector,sentiment,archive_file,archive_offset,global_offset,n,dimensions,source_embedding_file,source_text_file
182,1,pos,justification_embeddings_float32_part03.npz,3252,36252,248,1536,pos_embed_182_1_2_fin.pkl,pos_lst_182_1.pkl
182,2,neg,justification_embeddings_float32_part03.npz,3500,36500,252,1536,neg_embed_182_2_2_fin.pkl,neg_lst_182_1.pkl
182,2,pos,justification_embeddings_float32_part03.npz,3752,36752,248,1536,pos_embed_182_2_2_fin.pkl,pos_lst_182_1.pkl
182,3,neg,justification_embeddings_float32_part03.npz,4000,37000,252,1536,neg_embed_182_3_2_fin.pkl,neg_lst_182_1.pkl
182,3,pos,justification_embeddings_float32_part03.npz,4252,37252,248,1536,pos_embed_182_3_2_fin.pkl,pos_lst_182_1.pkl
182,4,neg,justification_embeddings_float32_part03.npz,4500,37500,252,1536,neg_embed_182_4_2_fin.pkl,neg_lst_182_1.pkl
182,4,pos,justification_embeddings_float32_part03.npz,4752,37752,248,1536,pos_embed_182_4_2_fin.pkl,pos_lst_182_1.pkl
182,5,neg,justification_embeddings_float32_part03.npz,5000,38000,252,1536,neg_embed_182_5_2_fin.pkl,neg_lst_182_1.pkl
182,5,pos,justification_embeddings_float32_part03.npz,5252,38252,248,1536,pos_embed_182_5_2_fin.pkl,pos_lst_182_1.pkl
182,6,neg,justification_embeddings_float32_part03.npz,5500,38500,252,1536,neg_embed_182_6_2_fin.pkl,neg_lst_182_1.pkl
182,6,pos,justification_embeddings_float32_part03.npz,5752,38752,248,1536,pos_embed_182_6_2_fin.pkl,pos_lst_182_1.pkl
183,1,neg,justification_embeddings_float32_part03.npz,6000,39000,392,1536,neg_embed_183_1_2_fin.pkl,neg_lst_183_1.pkl
183,1,pos,justification_embeddings_float32_part03.npz,6392,39392,108,1536,pos_embed_183_1_2_fin.pkl,pos_lst_183_1.pkl
183,2,neg,justification_embeddings_float32_part03.npz,6500,39500,392,1536,neg_embed_183_2_2_fin.pkl,neg_lst_183_1.pkl
183,2,pos,justification_embeddings_float32_part03.npz,6892,39892,108,1536,pos_embed_183_2_2_fin.pkl,pos_lst_183_1.pkl
183,3,neg,justification_embeddings_float32_part03.npz,7000,40000,392,1536,neg_embed_183_3_2_fin.pkl,neg_lst_183_1.pkl
183,3,pos,justification_embeddings_float32_part03.npz,7392,40392,108,1536,pos_embed_183_3_2_fin.pkl,pos_lst_183_1.pkl
183,4,neg,justification_embeddings_float32_part03.npz,7500,40500,392,1536,neg_embed_183_4_2_fin.pkl,neg_lst_183_1.pkl
183,4,pos,justification_embeddings_float32_part03.npz,7892,40892,108,1536,pos_embed_183_4_2_fin.pkl,pos_lst_183_1.pkl
183,5,neg,justification_embeddings_float32_part03.npz,8000,41000,392,1536,neg_embed_183_5_2_fin.pkl,neg_lst_183_1.pkl
183,5,pos,justification_embeddings_float32_part03.npz,8392,41392,108,1536,pos_embed_183_5_2_fin.pkl,pos_lst_183_1.pkl
183,6,neg,justification_embeddings_float32_part03.npz,8500,41500,392,1536,neg_embed_183_6_2_fin.pkl,neg_lst_183_1.pkl
183,6,pos,justification_embeddings_float32_part03.npz,8892,41892,108,1536,pos_embed_183_6_2_fin.pkl,pos_lst_183_1.pkl
