prompt_no,connector,sentiment,embedding_file,text_file,n,dimensions
38,1,pos,pos_embed_38_1_2_fin.pkl,pos_lst_38_1.pkl,275,1536
38,2,pos,pos_embed_38_2_2_fin.pkl,pos_lst_38_1.pkl,275,1536
38,3,pos,pos_embed_38_3_2_fin.pkl,pos_lst_38_1.pkl,275,1536
38,4,pos,pos_embed_38_4_2_fin.pkl,pos_lst_38_1.pkl,275,1536
38,5,pos,pos_embed_38_5_2_fin.pkl,pos_lst_38_1.pkl,275,1536
38,6,pos,pos_embed_38_6_2_fin.pkl,pos_lst_38_1.pkl,275,1536
39,1,pos,pos_embed_39_1_2_fin.pkl,pos_lst_39_1.pkl,335,1536
39,2,pos,pos_embed_39_2_2_fin.pkl,pos_lst_39_1.pkl,335,1536
39,3,pos,pos_embed_39_3_2_fin.pkl,pos_lst_39_1.pkl,335,1536
39,4,pos,pos_embed_39_4_2_fin.pkl,pos_lst_39_1.pkl,335,1536
39,5,pos,pos_embed_39_5_2_fin.pkl,pos_lst_39_1.pkl,335,1536
39,6,pos,pos_embed_39_6_2_fin.pkl,pos_lst_39_1.pkl,335,1536
62,1,pos,pos_embed_62_1_2_fin.pkl,pos_lst_62_1.pkl,165,1536
62,2,pos,pos_embed_62_2_2_fin.pkl,pos_lst_62_1.pkl,165,1536
62,3,pos,pos_embed_62_3_2_fin.pkl,pos_lst_62_1.pkl,165,1536
62,4,pos,pos_embed_62_4_2_fin.pkl,pos_lst_62_1.pkl,165,1536
62,5,pos,pos_embed_62_5_2_fin.pkl,pos_lst_62_1.pkl,165,1536
62,6,pos,pos_embed_62_6_2_fin.pkl,pos_lst_62_1.pkl,165,1536
63,1,pos,pos_embed_63_1_2_fin.pkl,pos_lst_63_1.pkl,116,1536
63,2,pos,pos_embed_63_2_2_fin.pkl,pos_lst_63_1.pkl,116,1536
63,3,pos,pos_embed_63_3_2_fin.pkl,pos_lst_63_1.pkl,116,1536
63,4,pos,pos_embed_63_4_2_fin.pkl,pos_lst_63_1.pkl,116,1536
63,5,pos,pos_embed_63_5_2_fin.pkl,pos_lst_63_1.pkl,116,1536
63,6,pos,pos_embed_63_6_2_fin.pkl,pos_lst_63_1.pkl,116,1536
84,1,pos,pos_embed_84_1_2_fin.pkl,pos_lst_84_1.pkl,352,1536
84,2,pos,pos_embed_84_2_2_fin.pkl,pos_lst_84_1.pkl,352,1536
84,3,pos,pos_embed_84_3_2_fin.pkl,pos_lst_84_1.pkl,352,1536
84,4,pos,pos_embed_84_4_2_fin.pkl,pos_lst_84_1.pkl,352,1536
84,5,pos,pos_embed_84_5_2_fin.pkl,pos_lst_84_1.pkl,352,1536
84,6,pos,pos_embed_84_6_2_fin.pkl,pos_lst_84_1.pkl,352,1536
85,1,pos,pos_embed_85_1_2_fin.pkl,pos_lst_85_1.pkl,202,1536
85,2,pos,pos_embed_85_2_2_fin.pkl,pos_lst_85_1.pkl,202,1536
85,3,pos,pos_embed_85_3_2_fin.pkl,pos_lst_85_1.pkl,202,1536
85,4,pos,pos_embed_85_4_2_fin.pkl,pos_lst_85_1.pkl,202,1536
85,5,pos,pos_embed_85_5_2_fin.pkl,pos_lst_85_1.pkl,202,1536
85,6,pos,pos_embed_85_6_2_fin.pkl,pos_lst_85_1.pkl,202,1536
